score_date,code,name,total_score,is_buy_strong_candidate,outcome_30d,benchmark_30d,alpha_30d,net_alpha_30d,round_trip_cost_bps,strategy,state,reason
2026-04-21,000333,美的集团,38.53,False,2.4714590390164437,1.7344798657717986,0.7369791732446451,0.5369791732446452,20.0,v1,unavailable,INSUFFICIENT_WINDOW
2026-04-21,000333,美的集团,38.53,False,2.4714590390164437,1.7344798657717986,0.7369791732446451,0.5369791732446452,20.0,v2,unavailable,PRICE_PANEL_UNAVAILABLE:2026-04-21
2026-04-21,600036,招商银行,27.88,False,-6.910365548322483,1.7344798657717986,-8.64484541409428,-8.84484541409428,20.0,v1,reject,BELOW_MA120
2026-04-21,600036,招商银行,27.88,False,-6.910365548322483,1.7344798657717986,-8.64484541409428,-8.84484541409428,20.0,v2,reject,BELOW_MA120
2026-04-21,600519,贵州茅台,56.34,True,-7.117016983710078,1.7344798657717986,-8.851496849481876,-9.051496849481875,20.0,v1,unavailable,INSUFFICIENT_WINDOW
2026-04-21,600519,贵州茅台,56.34,True,-7.117016983710078,1.7344798657717986,-8.851496849481876,-9.051496849481875,20.0,v2,unavailable,PRICE_PANEL_UNAVAILABLE:2026-04-21
2026-04-21,601318,中国平安,27.41,False,-7.8280232956492,1.7344798657717986,-9.562503161420999,-9.762503161420998,20.0,v1,unavailable,INSUFFICIENT_WINDOW
2026-04-21,601318,中国平安,27.41,False,-7.8280232956492,1.7344798657717986,-9.562503161420999,-9.762503161420998,20.0,v2,unavailable,PRICE_PANEL_UNAVAILABLE:2026-04-21
2026-04-27,000786,北新建材,40.92,False,-10.95890410958904,3.707856925769515,-14.666761035358554,-14.866761035358554,20.0,v1,reject,BELOW_MA60
2026-04-27,000786,北新建材,40.92,False,-10.95890410958904,3.707856925769515,-14.666761035358554,-14.866761035358554,20.0,v2,reject,BELOW_MA60
2026-04-27,000963,华东医药,45.62,True,-14.294066062554812,3.707856925769515,-18.001922988324328,-18.201922988324327,20.0,v1,reject,BELOW_MA60
2026-04-27,000963,华东医药,45.62,True,-14.294066062554812,3.707856925769515,-18.001922988324328,-18.201922988324327,20.0,v2,reject,BELOW_MA60
2026-04-27,002050,三花智控,48.23,True,11.413635373556975,3.707856925769515,7.70577844778746,7.50577844778746,20.0,v1,reject,BELOW_MA60
2026-04-27,002050,三花智控,48.23,True,11.413635373556975,3.707856925769515,7.70577844778746,7.50577844778746,20.0,v2,reject,BELOW_MA60
2026-04-27,002119,康强电子,29.44,False,22.465492622560678,3.707856925769515,18.757635696791162,18.557635696791163,20.0,v1,reject,BELOW_MA60
2026-04-27,002119,康强电子,29.44,False,22.465492622560678,3.707856925769515,18.757635696791162,18.557635696791163,20.0,v2,reject,BELOW_MA60
2026-04-27,002201,九鼎新材,23.92,False,-19.603680113234255,3.707856925769515,-23.31153703900377,-23.51153703900377,20.0,v1,pass,PASS
2026-04-27,002201,九鼎新材,23.92,False,-19.603680113234255,3.707856925769515,-23.31153703900377,-23.51153703900377,20.0,v2,pass_weak,QFQ_UNAVAILABLE;ADJUSTED_NONE
2026-04-27,002475,立讯精密,41.79,False,-0.7086285952480287,3.707856925769515,-4.4164855210175435,-4.616485521017544,20.0,v1,pass,PASS
2026-04-27,002475,立讯精密,41.79,False,-0.7086285952480287,3.707856925769515,-4.4164855210175435,-4.616485521017544,20.0,v2,pass_weak,QFQ_UNAVAILABLE;ADJUSTED_NONE
2026-04-27,002594,比亚迪,42.85,False,-7.064686339652148,3.707856925769515,-10.772543265421664,-10.972543265421663,20.0,v1,reject,LOW_VOLUME
2026-04-27,002594,比亚迪,42.85,False,-7.064686339652148,3.707856925769515,-10.772543265421664,-10.972543265421663,20.0,v2,reject,LOW_VOLUME
2026-04-27,002648,卫星化学,45.54,True,-15.026833631484793,3.707856925769515,-18.734690557254307,-18.934690557254306,20.0,v1,reject,LOW_VOLUME
