score_date,code,name,total_score,is_buy_strong_candidate,buy_strong_threshold,outcome_30d,benchmark_30d,alpha_30d,net_alpha_30d,production_entry_signal,production_entry_signal_status,production_entry_signal_reason,v1_signal,v1_status,v1_reason,v2_signal,v2_status,v2_reason,v2_adjusted,source,volume_unit,stale_reason,unavailable_reason,preload_start,alignment_reason,close,ma60,ma120,ma60_5d_ago,vol5,vol20,high_20d_prev,market_state,market_reason,market_close,market_ma20,market_ma20_5d_ago,panel_bar_count
2026-04-21,000333,美的集团,38.53,False,44.0,2.4714590390164437,1.7344798657717986,0.7369791732446451,0.5369791732446452,,,,,unavailable,INSUFFICIENT_WINDOW,,unavailable,PRICE_PANEL_UNAVAILABLE:2026-04-21,none,none,unknown,,PRICE_PANEL_UNAVAILABLE:2026-04-21,2024-07-05,QFQ_UNAVAILABLE,,,,,,,,market_unknown,MARKET_WINDOW_INSUFFICIENT,,,,0
2026-04-21,600036,招商银行,27.88,False,44.0,-6.910365548322483,1.7344798657717986,-8.64484541409428,-8.84484541409428,,,,0,reject,BELOW_MA120,0,reject,BELOW_MA120,none,tushare.daily,hand,,TUSHARE_RATE_LIMIT:抱歉，您访问接口(adj_factor)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。,2024-07-05,QFQ_UNAVAILABLE,39.87,39.123666666666665,40.65958333333333,39.15833333333333,678402.4600000001,612140.9125,40.15,market_unknown,MARKET_WINDOW_INSUFFICIENT,,,,434
2026-04-21,600519,贵州茅台,56.34,True,44.0,-7.117016983710078,1.7344798657717986,-8.851496849481876,-9.051496849481875,,,,,unavailable,INSUFFICIENT_WINDOW,,unavailable,PRICE_PANEL_UNAVAILABLE:2026-04-21,none,none,unknown,,PRICE_PANEL_UNAVAILABLE:2026-04-21,2024-07-05,QFQ_UNAVAILABLE,,,,,,,,market_unknown,MARKET_WINDOW_INSUFFICIENT,,,,0
2026-04-21,601318,中国平安,27.41,False,44.0,-7.8280232956492,1.7344798657717986,-9.562503161420999,-9.762503161420998,,,,,unavailable,INSUFFICIENT_WINDOW,,unavailable,PRICE_PANEL_UNAVAILABLE:2026-04-21,none,none,unknown,,PRICE_PANEL_UNAVAILABLE:2026-04-21,2024-07-05,QFQ_UNAVAILABLE,,,,,,,,market_unknown,MARKET_WINDOW_INSUFFICIENT,,,,0
2026-04-27,000786,北新建材,40.92,False,44.0,-10.95890410958904,3.707856925769515,-14.666761035358554,-14.866761035358554,,,,0,reject,BELOW_MA60,0,reject,BELOW_MA60,none,tushare.daily,hand,,TUSHARE_RATE_LIMIT:抱歉，您访问接口(adj_factor)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。,2024-07-05,QFQ_UNAVAILABLE,24.82,26.804,25.881166666666665,26.9165,119684.59599999999,138314.16499999998,26.68,market_unknown,MARKET_WINDOW_INSUFFICIENT,,,,438
2026-04-27,000963,华东医药,45.62,True,44.0,-14.294066062554812,3.707856925769515,-18.001922988324328,-18.201922988324327,,,,0,reject,BELOW_MA60,0,reject,BELOW_MA60,none,tushare.daily,hand,,TUSHARE_RATE_LIMIT:抱歉，您访问接口(adj_factor)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。,2024-07-05,QFQ_UNAVAILABLE,34.21,35.50716666666666,38.091166666666666,35.837833333333336,127235.176,122402.49949999999,37.16,market_unknown,MARKET_WINDOW_INSUFFICIENT,,,,438
2026-04-27,002050,三花智控,48.23,True,44.0,11.413635373556975,3.707856925769515,7.70577844778746,7.50577844778746,,,,0,reject,BELOW_MA60,0,reject,BELOW_MA60,none,tushare.daily,hand,,TUSHARE_RATE_LIMIT:抱歉，您访问接口(adj_factor)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。,2024-07-05,QFQ_UNAVAILABLE,45.91,47.498666666666665,47.73516666666667,48.493,900972.146,772070.337,46.87,market_unknown,MARKET_WINDOW_INSUFFICIENT,,,,438
2026-04-27,002119,康强电子,29.44,False,44.0,22.465492622560678,3.707856925769515,18.757635696791162,18.557635696791163,,,,0,reject,BELOW_MA60,0,reject,BELOW_MA60,none,tushare.daily,hand,,TUSHARE_RATE_LIMIT:抱歉，您访问接口(adj_factor)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。,2024-07-05,QFQ_UNAVAILABLE,21.01,22.408666666666665,20.110833333333336,22.605999999999998,255690.898,303089.1115,23.6,market_unknown,MARKET_WINDOW_INSUFFICIENT,,,,438
2026-04-27,002201,九鼎新材,23.92,False,44.0,-19.603680113234255,3.707856925769515,-23.31153703900377,-23.51153703900377,,,,1,pass,PASS,1,pass_weak,QFQ_UNAVAILABLE;ADJUSTED_NONE,none,tushare.daily,hand,,TUSHARE_RATE_LIMIT:抱歉，您访问接口(adj_factor)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。,2024-07-05,QFQ_UNAVAILABLE,14.13,12.716666666666667,11.102166666666667,12.586833333333335,1371991.9640000002,656204.9965,16.85,market_unknown,MARKET_WINDOW_INSUFFICIENT,,,,438
2026-04-27,002475,立讯精密,41.79,False,44.0,-0.7086285952480287,3.707856925769515,-4.4164855210175435,-4.616485521017544,,,,1,pass,PASS,1,pass_weak,QFQ_UNAVAILABLE;ADJUSTED_NONE,none,tushare.daily,hand,,TUSHARE_RATE_LIMIT:抱歉，您访问接口(adj_factor)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。,2024-07-05,QFQ_UNAVAILABLE,71.97,52.888000000000005,55.52558333333333,52.0105,2642210.118,2147386.8575,70.68,market_unknown,MARKET_WINDOW_INSUFFICIENT,,,,438
2026-04-27,002594,比亚迪,42.85,False,44.0,-7.064686339652148,3.707856925769515,-10.772543265421664,-10.972543265421663,,,,0,reject,LOW_VOLUME,0,reject,LOW_VOLUME,none,tushare.daily,hand,,TUSHARE_RATE_LIMIT:抱歉，您访问接口(adj_factor)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。,2024-07-05,QFQ_UNAVAILABLE,102.34,97.81633333333333,97.243,97.31766666666667,441512.75800000003,518348.34699999995,108.49,market_unknown,MARKET_WINDOW_INSUFFICIENT,,,,438
2026-04-27,002648,卫星化学,45.54,True,44.0,-15.026833631484793,3.707856925769515,-18.734690557254307,-18.934690557254306,,,,0,reject,LOW_VOLUME,0,reject,LOW_VOLUME,none,tushare.daily,hand,,TUSHARE_RATE_LIMIT:抱歉，您访问接口(adj_factor)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。,2024-07-05,QFQ_UNAVAILABLE,27.95,25.68166666666667,21.657500000000002,25.09416666666667,505095.43799999997,582582.741,30.36,market_unknown,MARKET_WINDOW_INSUFFICIENT,,,,438
2026-04-27,002736,国信证券,29.06,False,44.0,-6.642066420664216,3.707856925769515,-10.34992334643373,-10.54992334643373,,,,0,reject,BELOW_MA60,0,reject,BELOW_MA60,none,tushare.daily,hand,,TUSHARE_RATE_LIMIT:抱歉，您访问接口(adj_factor)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。,2024-07-05,QFQ_UNAVAILABLE,10.84,11.984666666666667,12.653416666666667,12.124,402275.858,345881.425,12.35,market_unknown,MARKET_WINDOW_INSUFFICIENT,,,,428
